"Customer.Name","Sum.Order.Gap.Adj","Count.True","Order.Freq","Customer.Class","Sum.Sale","Sum.Profit","Profit.Margin","Profitability","Last.Order.Date","Days.Since.Last.Order","Average.Discount","Discount.Level","Segment"
"Aaron Bergman",1395,37,38,"A",24644.63,4683.21,0.190029633230444,"Profitable",2014-12-15,16,0.110112359550562,"Low","Consumer"
"Aaron Hawkins",1337,34,39,"B",20759.51,2450.93,0.118062998596788,"Profitable",2014-12-19,12,0.160928571428571,"High","Corporate"
"Aaron Smayling",1358,31,44,"C",14212.63,369.16,0.0259740807999645,"Profitable",2014-12-08,23,0.167666666666667,"High","Corporate"
"Adam Bellavance",1419,39,36,"A",20186.78,4979.98,0.246695114327297,"Profitable",2014-11-26,35,0.131764705882353,"Low","Home Office"
"Adam Hart",1298,40,32,"A",21718.2,1902.03,0.0875776998093765,"Profitable",2014-12-29,2,0.0932380952380952,"Low","Corporate"
"Adam Shillingsburg",1350,34,40,"B",15444.68,1421.27,0.0920232727385741,"Profitable",2014-12-16,15,0.163408450704225,"High","Consumer"
"Adrian Barton",1296,37,35,"A",25123.18,6417.28,0.255432632333964,"Profitable",2014-12-04,27,0.209090909090909,"High","Consumer"
"Adrian Hane",1241,26,48,"D",11405.92,2081.38,0.18248243017661,"Profitable",2014-12-10,21,0.127851851851852,"Low","Home Office"
"Adrian Shami",1099,24,46,"D",11286.05,1564.49,0.138621572649421,"Profitable",2014-11-20,41,0.158636363636364,"High","Home Office"
"Aimee Bixby",1401,28,50,"D",16201.17,2926.35,0.180625843689067,"Profitable",2014-11-26,35,0.107309090909091,"Low","Consumer"
"Alan Barnes",1399,34,41,"B",13049.04,2436.07,0.186685763856958,"Profitable",2014-12-18,13,0.0891666666666667,"Low","Consumer"
"Alan Dominguez",1228,30,41,"C",18539.79,1539.99,0.0830640476510252,"Profitable",2014-12-26,5,0.164909090909091,"High","Home Office"
"Alan Haines",1395,33,42,"B",15279.76,-592.25,-0.0387604255564224,"Unprofitable",2014-11-12,49,0.184493506493506,"High","Corporate"
"Alan Hwang",1230,38,32,"A",23642.85,4342.37,0.183665251862614,"Profitable",2014-12-25,6,0.110837837837838,"Low","Consumer"
"Alan Schoenberger",1321,35,38,"B",21836.41,2503.63,0.11465391976062,"Profitable",2014-12-29,2,0.162876712328767,"High","Corporate"
"Alan Shonely",1423,35,41,"B",10693.18,1175.45,0.109925204663159,"Profitable",2014-12-19,12,0.127428571428571,"Low","Consumer"
"Alejandro Ballentine",1436,39,37,"A",15466.22,758.61,0.0490494768598921,"Profitable",2014-12-26,5,0.115294117647059,"Low","Home Office"
